brand_name,devices
Acer,103
alcatel,413
Allview,157
Amazon,25
Amoi,47
Apple,133
Archos,43
Asus,207
AT&T,4
Benefon,9
BenQ,35
BenQ-Siemens,28
Bird,61
BlackBerry,92
Blackview,99
BLU,369
Bosch,10
BQ,20
Casio,5
Cat,22
Celkon,229
Chea,12
Coolpad,53
Cubot,92
Dell,20
Doogee,139
Emporia,15
Energizer,78
Ericsson,40
Eten,22
Fairphone,5
Fujitsu Siemens,2
Garmin-Asus,5
Gigabyte,63
Gionee,95
Google,39
Haier,59
HMD,23
Honor,272
HP,41
HTC,295
Huawei,489
i-mate,34
i-mobile,37
Icemobile,61
Infinix,162
Innostream,18
iNQ,5
Intex,15
itel,46
Jolla,3
Karbonn,60
Kyocera,28
Lava,171
LeEco,9
Lenovo,255
LG,666
Maxon,31
Maxwest,41
Meizu,86
Micromax,289
Microsoft,32
Mitac,12
Mitsubishi,25
Modu,8
Motorola,648
MWg,5
NEC,73
Neonode,3
NIU,30
Nokia,591
Nothing,9
Nvidia,3
O2,45
OnePlus,94
Oppo,350
Orange,19
Oscal,29
Oukitel,74
Palm,17
Panasonic,123
Pantech,72
Parla,10
Philips,233
Plum,113
Posh,30
Prestigio,56
QMobile,90
Qtek,21
Razer,2
Realme,258
Sagem,120
Samsung,1200
Sendo,19
Sewon,25
Sharp,81
Siemens,94
Sonim,22
Sony,161
Sony Ericsson,188
Spice,100
T-Mobile,69
TCL,89
Tecno,173
Tel.Me.,7
Telit,30
Thuraya,2
Toshiba,35
Ulefone,127
Umidigi,76
Unnecto,30
Vertu,17
verykool,139
vivo,544
VK Mobile,31
Vodafone,87
Wiko,100
WND,5
XCute,4
Xiaomi,465
XOLO,81
Yezz,113
Yota,3
YU,13
ZTE,415
